timestamp,birth_year,current_residence,country_of_origin,education_level,wants_higher_education,field_of_study,employment_status,relation_to_problem,study_job_match,time_to_first_job,first_job_difficulty,main_job_search_barriers,career_guidance_received,experience_barrier,job_scarcity_barrier,low_salary_barrier,temporary_contract_barrier,opportunity_scarcity_barrier,internship_access_barrier,discrimination_barrier,migration_barrier,public_transport_barrier,regional_job_opportunities,regional_career_prospects,mobility_intention,preferred_destination,advice_to_young_people,proposed_public_measure
27-06-26,1997,"francia, ain",España,Máster universitario,No,ingeniería,Buscando empleo,Soy joven buscando empleo,,poco,Neutral,que te llamen,No,2,3,3,4,4,4,2,4,2,No,Sí,Si,suiza,no sé,que haya más trabajo y bien pagado
27-06-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Máster universitario,No,Ingeniería informática,Trabajando,Soy joven trabajando,Sí,"Nada, empecé a trabajar antes de terminarlos",Muy fácil,Ninguna,Sí,1,1,2,1,1,1,1,1,1,No,Sí,Si,Suiza,Estudiar algo con salidas.,Quizá subvenciones para prácticas remuneradas relacionadas con lo estudiado (es decir ganando experiencia relevante y cobrando)
27-06-26,1995,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Fotografía,Trabajando,Soy joven trabajando,No,0,Muy fácil,En el campo de mis estudios no hay trabajo,No,1,1,4,5,5,1,3,5,2,No,No,No,,Preparar una oposición desde joven,Incentivos para la contratación de personal sin experiencia y la prohibición de utilizar fotografías en el currículum
27-06-26,1997,"Madrid, España",Es el mismo país al de residencia actual,Graduado universitario,No,Salud,Trabajando,Soy joven trabajando,Sí,Nada,Muy fácil,Ninguna,No,1,1,2,4,1,1,1,1,2,Sí,Sí,No,,,"El problema principal ahora mismo es la vivienda, no el trabajo"
27-06-26,2010,China,Es el mismo país al de residencia actual,Estudios obligatorios,No,Trabajo en una fábrica textil haciendo camisetas falsas,Trabajando,Apoyo al comunismo chino,No,Nací en la fábrica y me puse a coser,Muy fácil,Ninguna,No,1,1,1,1,1,1,1,1,1,"Si, todos los niños chinos soñamos con apoyar el comunismo","No, no hay nada como trabajar 12 horas en una fabrica textil",No,"Ninguno, viva china",Ir corriendo a una fabrica textil china,Hacer mas fabricas
27-06-26,2000,"España, Comunidad Valenciana",Es el mismo país al de residencia actual,Graduado universitario,No,Lingüística,Trabajando,Soy joven trabajando,No,3 años,Neutral,Falta de oferta y salario,No,2,4,4,3,4,3,2,2,2,No,Sí,No,,,NsNc
27-06-26,1999,España,Es el mismo país al de residencia actual,Máster universitario,Sí,Restauración y conservación de bienes culturales,Autónomo,Soy joven trabajando,Sí,Según terminé mis estudios encontré trabajo pero al trabajar por proyectos nada es permanente,Neutral,El requisito de experiencia laboral,No,5,5,5,5,5,5,1,5,3,No,Sí,Si,"A muchos, desde países europeos hasta asiáticos y latinoamericanos",,Ni idea la verdad sorry
27-06-26,2000,"España, Asturias",Es el mismo país al de residencia actual,Máster universitario,Sí,Cálculos y simulación mecánica y fluidodinámica,Trabajando,Soy joven trabajando,Está más o menos relacionado,Alrededor de 9 meses,Difícil,"Siempre buscaban gente con 1-3 años de experiencia como mínimo, y en caso de no tener experiencia lo usan para pagarte menos de lo que marca tu convenio o para hacerte trabajar bajo condiciones que no eran las pactadas, sabiendo que es difícil que tengas otra opción.",No,5,3,3,1,4,1,1,5,1,Considero que en mi región hay oportunidades siempre y cuando sacrifiques tus condiciones laborales/salario digno los primeros años para así ganar experiencia que te permita llegar a un puesto decente.,Sí,Si,Francia y Alemania,"Valorando la calidad de vida de mi región, me quedaré aquí hasta poder acceder a un puesto que realmente me interese.",Ayudas para la descentralización de las industrias.
27-06-26,1997,España,Rumanía,Estudios técnicos superiores (formación profesional superior),No,Audiovisual,Trabajando;Autónomo,Soy joven trabajando,Sí,5 meses,Neutral,,No,1,5,4,3,3,2,1,2,4,No,No,Si,,autobusero,"no sé bro, no soy experto"
27-06-26,2001,"España, Comunidad Valenciana",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),No,Artes plásticas,Buscando empleo,Soy joven buscando empleo,,Hasta la actualidad,Difícil,,No,5,4,3,2,3,2,2,3,4,No,Quizás,No,,,Una revisión de las condiciones y requisitos laborables que tienden a la absurdez en muchos casos
27-06-26,2001,"España, Comunidad Valenciana",Es el mismo país al de residencia actual,Máster universitario,No,Educación,Estudiante;Trabajando,Soy joven con trabajos esporádicos,Sí,"El trabajo que realizo ahora mismo es en una empresa que lleva excursiones, escuelas de verano, viajes de fin de curso, etc. Por lo que es algo intermitente. Empecé en este trabajo antes de acabar mi segunda carrera (Educación Primaria) y llevo con la misma empresa ya 3 años.",Neutral,Las principales dificultades fueron la falta de contactos y la falta de experiencia previa en este área de animación.,No,3,3,2,3,3,2,2,1,2,No,Sí,Si,Irlanda,Lo mismo que he hecho.,Que ofrecieran más oportunidades para ganar experiencia o fueran más flexibles al respecto
27-06-26,1999,España,Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),No,Metal,Trabajando,Soy joven trabajando,Está más o menos relacionado,1 año,Neutral,,No,1,1,1,1,1,1,1,1,1,Sí,Sí,Si,Países del este europeo,,Ninguna
27-06-26,1995,España,Es el mismo país al de residencia actual,Estudios obligatorios,Sí,Prácticamente nada de lo que estudié me sirvió a futuro para ninguno de mis trabajos.,Trabajando,Soy joven trabajando,No,Uno o dos meses para el primero y alguno entre trabajos.,Neutral,"No entender qué buscaba, cómo buscarlo o qué necesitaba para comenzar.",No,5,3,5,5,4,2,3,5,3,Ofrecen trabajos mal pagados o de pocas horas a jóvenes que no saben dónde se meten. Muchas veces abusan del desconocimiento oara pedir de más.,Dejé mis estudios universitarios porque eran demasiado costosos para la oferta laboral que encontraría después además del alto número de estudiantes del mismo curso e intrusismo.,Si,"Alemania, Reino Unido, Italia.",Quizas una formación profesional para encontrar algo relacionado con un trabajo que me gustaría y al que pudiera acceder con preparación previa.,"Información e instruccion sobre el plano laboral, opciones y ayudas tanto económicas como informativas"
27-06-26,2003,"España, Asturies",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Química,Trabajando,Soy joven trabajando,Sí,6 meses,Difícil,Ofertas precarias y las complicaciones a la hora de conseguir vehículo propio debido a que los trabajos de mi sector suelen ubicarse alejados de las zonas urbanas,Sí,4,4,5,4,3,3,1,2,5,No,Sí,Si,,Aprovechar todo lo posible situaciones de no emancipación puesto que parece el único momento vital donde conseguir un buen ahorro,Acomodar de nuevo la organización del calendario escolar en fp para que tras completar las practicas existan oportunidades reales de contratación.
28-06-26,1999,"España, asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Administración,Trabajando,Soy joven estudiante,Está más o menos relacionado,Poco,Neutral,Inmadurez,"Sí, pero fuera de mi institución de estudios",3,4,4,2,4,2,4,3,3,No,Sí,Si,Por europa,,Mejores legislaciones
28-06-26,2001,"Cartagena, murcia, españa, europa",Es el mismo país pero otra región del territorio,Estudios técnicos superiores (formación profesional superior),Sí,Estética,Despedida (busco empleo),Soy joven buscando empleo,,2 años,Muy difícil,Poca oferta de emoleo en el sector y muy cerrado,No,2,3,3,3,3,2,3,3,2,No,No,Si,"Estados unidos , paris o italia se que paises bajos etc tambien tienen mi sector y otros sitios",No toca otra que joderse e ir de trabajo en trabajo de mierda,Sinceramente acabar con cosas como el periodo de prueba en mi caso
28-06-26,1999,"Asturias, España",Es el mismo país al de residencia actual,Máster universitario,No,Ingeniería informática,Trabajando,Soy joven trabajando,Sí,Un mes,Difícil,"Sin respuesta de ninguna empresa, sólo encontré por contactos","Sí, pero fuera de mi institución de estudios",5,2,1,3,4,2,1,1,1,No,Sí,No,Suiza,,Crear más puestos de trabajo que no requieran experiencia laboral previa
28-06-26,1971,"España,  Gijón",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Informatica,Trabajando,Soy familiar de una persona joven,No,Poco,Fácil,Poca experiencia,Sí,2,1,2,2,2,2,1,1,1,Sí,Sí,No,,Aumentar mi nivel de estudios,Subvenciones a las empresas para la incorporación de mas trabajadores para garantizarles experiencia
28-06-26,1966,"España, Asturias",Es el mismo país pero otra región del territorio,Estudios técnicos superiores (formación profesional superior),Sí,Fuerzas Armadas,Jubilado/a,Social,,Inmediato,Neutral,,No,1,1,1,1,1,2,1,2,1,No,Sí,No,,,Garantizar la estabilidad laboral y los salarios acordes a la preparación exigida.
28-06-26,2001,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Administración y finanzas,Estudiante;Buscando empleo,Soy joven estudiante,,1 mes,,,Sí,3,4,4,4,3,1,2,1,1,Sí,Sí,No,,Formación Profesional con buena tasa de empleabilidad,Orientar más a los jóvenes durante la época de estudiantes
29-06-26,1997,"España, Asturias",Es el mismo país al de residencia actual,Graduado universitario,Sí,Ingeniería Informática del Software,Estudiante;Trabajando,Soy joven trabajando,Sí,Sin espera,Fácil,Alcanzar el filtro de las entrevistas,No,4,2,1,2,1,2,1,2,2,Sí,"Pese a tener una oferta extendida en el sector, la capacidad de crecimiento dentro de él es limitada en la región",Si,Nueva Zelanda,Focalizar el esfuerzo en la búsqueda de empleo en el extranjero,Fomentar el crecimiento del sector a nivel nacional y regional.
09-07-26,1999,Esoaña,Es el mismo país al de residencia actual,Máster universitario,No,Marketing,Buscando empleo,Soy joven buscando empleo,,Actualidad,Difícil,,No,5,3,5,4,5,3,1,4,2,No,Sí,Si,Holanda,,Bolsas de trabajo especializadas
09-07-26,1999,"Suiza, Zúrich",España,Graduado universitario,Sí,Ingeniería,Estudiante;Trabajando,Soy joven trabajando,Sí,3 meses,Neutral,Idioma,No,4,3,2,1,3,1,2,3,2,No,Sí,Si,Suiza,Emigrar,Regulación del trabajo informal y trabajo en empresas no remunerado
09-07-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Estudios obligatorios,Sí,Obra civil,Estudiante,Soy joven estudiante,No,No han acabado,,,No,4,2,4,4,3,3,1,4,1,No,Sí,No,,,Apoyo al emprendimiento en sectores de industria
09-07-26,1996,Gijon,Venezuela,Estudios técnicos superiores (formación profesional superior),No,Informatica,Estudiante;Trabajando,Soy joven buscando empleo,No,3 meses,Neutral,tener la oportunidad de estar seleccionado para la primera entrevista,Sí,5,2,4,5,5,1,2,2,3,No,No,Si,Noruega,Irme de españa,"que mediante un sistema similar a la bolsa de empleo se le tuviera que dar prioridad a los jovenes (28-34) para conseguir ofertas en su sector , que se acumulen puntos tanto por inactividad como por trabajar en empleos no relacionados a tu campo y de esa manera tengas la oportunidad de acceder al proceso de seleccion para trabajos en tu area de forma periodica sin tener que hacer activamente la búsqueda del mismo"
09-07-26,1999,"españa, madrid",Es el mismo país pero otra región del territorio,Graduado universitario,No,informatica,Trabajando,Soy joven trabajando,Sí,6 meses,Difícil,nadie te llama,"Sí, pero fuera de mi institución de estudios",5,5,5,5,5,4,1,3,1,No,Sí,Si,,,qu todas las practicas sean remuneradas
09-07-26,1999,España,Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),No,Deporte,Trabajando,Soy empleador/a,Sí,1 año,Neutral,No considero haber tenido dificultades,Sí,2,2,2,5,2,2,2,2,2,Sí,Sí,No,,,Me gustaria que hubiera un limite en los contratos temporales y en las horas complementarias o extras realizadas .
09-07-26,1996,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos medios (formación profesional media),Sí,"Informatica, Deporte",Trabajando,Soy joven trabajando,No,"Desde que deje de estudiar, trabaje",Neutral,Ninguno,"Sí, pero fuera de mi institución de estudios",2,4,4,2,3,2,1,1,1,Depende del campo en el que quieras trabajar,Sí,Si,"Inglaterra, Canada","Valorar el mercado laboral en alguno de los paises que mencione anteriormente, estudiar algo que me valga para trabajar bien alli y me interese y probar en alguno de esos paises. Si volviese tengo esa formacion fuera que me seria util aqui tambien.",Ayudas que incentiven a las empresas a aumentar puestos de trabajo y ayudar a que la gente joven sea emprendedora
09-07-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Técnico en sonido y audiovisuales,Buscando empleo,Soy joven buscando empleo,,Mes y medio,Difícil,Profesionales con muchos años de experiencia marchándose de las grandes ciudades por no poder pagar su vivienda en ellas llegando a regiones con menos actividad como Asturias y lógicamente realizando la mayoría de los trabajos del campo.,Sí,5,3,2,3,4,2,1,3,1,No,No,Si,Alemania - UK - US,Cambiar de estudios o mudarme a otro país antes,Esa es una muy buena pregunta
09-07-26,1999,"España, Asturias",Inglaterra,Estudios técnicos medios (formación profesional media),Sí,Administración,Trabajando,Soy joven trabajando,No,2 años,Difícil,,No,3,2,4,5,5,4,1,5,5,No,No,Si,,,Más ayudas
09-07-26,1999,España,Es el mismo país al de residencia actual,Graduado universitario,No,Ingeniería informática,Trabajando,Soy joven trabajando,Sí,Empecé a trabajar antes de haber terminado la carrera,Fácil,La predisposición de las empresas a dar empleo a jóvenes,Sí,4,1,2,1,1,2,2,1,1,Sí,Sí,Si,"Suiza, Irlanda, Suecia o Polonia",Crearme una cuenta de LinkedIn cuanto antes y empezar a crear una red de contactos,Posiblemente algún tipo de ayuda a las empresas para financiar más formación para los empleados
09-07-26,1998,"España, Asturias",Es el mismo país al de residencia actual,Graduado universitario,Sí,Documentación,Trabajando,Soy joven trabajando,Sí,5 meses,Neutral,Que salieran oposiciones relacionadas con mi área de trabajo.,Sí,2,5,4,4,4,2,1,3,3,No,Sí,No,,,"En el caso de mi área de trabajo, sería tan fácil como convocar oposiciones para cubrir la necesidad de puestos de trabajo y favorecer así la incorporación de personas jóvenes a los mismos."
09-07-26,1997,"Belgica, brusselas",Es el mismo país pero otra región del territorio,Estudios obligatorios,Sí,General,Trabajando,Soy joven trabajando,No,5,Difícil,No ténia un titulo superior,No,5,3,1,1,3,4,1,1,1,Sí,Sí,Si,Francis/espana,Sacar buenas notas en los estudios/buscar una formacion,Formacion
09-07-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Máster universitario,Sí,Ingeniería informática,Trabajando,Soy joven trabajando,Sí,Dos meses,Difícil,Silencio de radio de la mayoría de empresas,Sí,5,3,3,5,5,2,1,1,1,No,Sí,Si,Suiza,Estudios sobre cohetería o ingeniería aeroespacial,Una cuota de empleados jóvenes similar a la cuota de mujeres
09-07-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),No,Electricidad,Trabajando,Soy joven trabajando,Sí,3 meses,Muy fácil,Ninguna,Sí,1,1,1,1,1,1,1,1,1,Sí,Sí,Si,"Mismo país, distinta region",Estudiar menos,Replantear sistema educativo
09-07-26,1999,"Estados Unidos, Carolina del Sur",Mexico,Estudios técnicos superiores (formación profesional superior),Sí,.,Estudiante;Trabajando;Autónomo,Soy empleador/a,No,1 año,Fácil,,No,1,1,3,2,1,1,3,5,2,Lo desconozco,No,No,,"Emigrar, emprender, estudiar, trabajar",Lo desconozco
09-07-26,1999,"Suiza, Ginebra",España,Graduado universitario,Sí,Informática,Trabajando,Trabajador,Sí,Nada,Neutral,El idioma,No,4,4,4,4,3,2,1,4,1,Sí,Sí,Si,España,Emigrar,Invertir en nuevos puestos de trabajo
09-07-26,1996,"España, Madrid",Es el mismo país al de residencia actual,Graduado universitario,No,Economía,Estudiante,Soy joven estudiante,Sí,3 meses,Neutral,Remuneración suficiente para independizarse,Sí,4,3,5,4,4,2,1,1,2,No,Sí,Si,,,Campaña de informacion con datos sobre el mercado laboral para crear conciencia de la mala situacion actual
09-07-26,1999,"España, Palencia",Es el mismo país al de residencia actual,Graduado universitario,Sí,Veterinaria,Trabajando,Soy joven trabajando,Sí,5 meses,Neutral,Necesidad de experiencia previa para optar a la mayoría de puestos de trabajo,Sí,5,4,4,5,4,2,3,4,3,No,Sí,No,,Hacer más prácticas durante la universidad orientadas al puesto de trabajo que deseo,Convenios colectivos más acordes con la realidad de cada sector
09-07-26,1999,"España, Asturias",Es el mismo país pero otra región del territorio,Estudios técnicos medios (formación profesional media),Sí,Atención a personas dependientes,Trabajando,Soy joven trabajando,No,Unos meses,Neutral,Experiencia,No,3,2,3,3,3,2,2,3,2,No,No,Si,Suiza,Formarme más,Mejorar las condiciones y regular las exigencias de acceso al puesto
10-07-26,1997,"España, Asturias, Otur",Es el mismo país al de residencia actual,Máster universitario,No,Informática,Trabajando,Soy joven trabajando,Sí,0,Fácil,,Sí,1,1,1,4,1,1,1,4,1,No se,Sí,Si,Menos a Marruecos donde sea.,Destituir a Pedro Sánchez pero ya vamos,Que España gane el mundial y que dejen de darle la paguita a los perroflsutas que votan a Perro Sánchez
14-07-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Máster universitario,No,Historia Universal,Autónomo,Soy joven trabajando,Sí,Un año,Difícil,Falta de información por parte de las empresas,No,3,5,3,4,5,1,1,3,1,No,Con mucha suerte,Si,"Bélgica, Dinamarca o Suecia",Soy joven así que no sé,Jubilar a la gente antes
14-07-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Graduado universitario,Sí,Informática,Trabajando,Soy joven trabajando,Sí,8 meses,Muy difícil,"Muchas entrevistas, ningún sí",Sí,5,3,2,4,5,3,2,4,4,No,Sí,Si,Alemania,,"Nacionalizar los servicios humanos básicos como la vivienda, la luz, el agua, etc. Así como reducir las jornadas laborales para reducir el paro."
